Nº,Municipio,URL oficial
1,Agurain/Salvatierra,https://www.agurain.eus
2,Alegría-Dulantzi,https://www.alegria-dulantzi.net
3,Amurrio,https://www.amurrio.eus
4,Añana,https://www.cuadrillaanana.es/anana
5,Aramaio,https://www.aramaio.eus
6,Armiñón,https://www.arminon.es
7,Arraia-Maeztu,https://www.arraia-maeztu.eus
8,Arrazua-Ubarrundia,https://www.arrazua-ubarrundia.com
9,Artziniega,https://www.artziniega.eus
10,Asparrena,https://www.asparrena.eus
11,Ayala/Aiara,https://www.ayala.org
12,Baños de Ebro/Mañueta,https://www.banosdeebro.com
13,Barrundia,https://www.barrundia.org
14,Berantevilla,https://www.berantevilla.org
15,Bernedo,https://www.bernedo.es
16,Campezo/Kanpezu,https://www.campezo.com
17,Elburgo/Burgelu,https://www.elburgo-burgelu.com
18,Elciego,https://www.elciego.es
19,Elvillar/Bilar,https://www.elvillar.org
20,Harana/Valle de Arana,https://www.valledearana.es
21,Iruña Oka/Iruña de Oca,https://www.irunadeoca.com
22,Iruraiz-Gauna,https://www.iruraiz-gauna.com
23,Kripan,https://www.cuadrilladelaguardia.eus/kripan
24,Kuartango,https://www.kuartango.org
25,Labastida/Bastida,https://www.labastida.eus
26,Lagrán,https://www.lagran.es
27,Laguardia,https://www.laguardia.eus
28,Lanciego/Lantziego,https://www.lanciego.es
29,Lantarón,https://www.lantaron.es
30,Lapuebla de Labarca,https://www.lapuebladelabarca.org
31,Legutio,https://www.legutio.eus
32,Leza,https://www.lezakoudala.com
33,Laudio/Llodio,https://www.llodio.eus
34,Moreda de Álava/Moreda Araba,https://www.moredadealava.com
35,Navaridas,https://www.navaridas.es
36,Okondo,https://www.okondo.eus
37,Oyón-Oion,https://www.oyon.sientearaba.com
38,Peñacerrada-Urizaharra,https://www.penacerrada.org
39,Erriberagoitia/Ribera Alta,https://www.riberaalta.net
40,Ribera Baja/Erribera Beitia,https://www.riberabaja.es
41,Samaniego,https://www.samaniego.es
42,San Millán/Donemiliaga,https://www.sanmillan.org
43,Urkabustaiz,https://www.urkabustaiz.org
44,Valdegovía/Gaubea,https://www.valdegovia.com
45,Villabuena de Álava/Eskuernaga,https://www.villabuenadealava.org
46,Vitoria-Gasteiz,https://www.vitoria-gasteiz.org
47,Yécora/Iekora,https://www.yecora.es
48,Zalduondo,https://www.zalduondo.eus
49,Zambrana,https://www.zambrana.es
50,Zigoitia,https://www.zigoitia.eus
51,Zuia,https://www.zuia.eus
