nombre,codigo_ine,url_ayuntamiento
Abla,04001,https://www.abla.es/
Abrucena,04002,https://www.abrucena.es/
Adra,04003,https://adra.es/
Albanchez,04004,https://www.albanchez.es/
Alboloduy,04005,https://www.alboloduy.es/
Albox,04006,https://www.albox.es/
Alcolea,04007,https://www.alcolea.es/
Alcóntar,04008,https://www.alcontar.es/
Alcudia de Monteagud,04009,https://www.alcudiademonteagud.es/
Alhabia,04010,http://www.alhabia.es/
Alhama de Almería,04011,https://www.alhamadealmeria.es/
Alicún,04012,https://www.alicun.es/
Almería,04013,https://www.almeriaciudad.es/
Almócita,04014,https://www.almocita.es/
Alsodux,04015,https://www.alsodux.es/
Antas,04016,https://www.antas.es/
Arboleas,04017,https://www.arboleas.es/
Armuña de Almanzora,04018,https://www.armunadealmanzora.es/
Bacares,04019,https://www.bacares.es/
Balanegra,04904,https://www.balanegra.es/
Bayárcal,04020,https://www.bayarcal.es/
Bayarque,04021,https://www.bayarque.es/
Bédar,04022,https://www.bedar.es/
Beires,04023,https://www.beires.es/
Benahadux,04024,https://www.benahadux.es/
Benitagla,04026,https://www.benitagla.es/
Benizalón,04027,https://www.benizalon.es/
Bentarique,04028,https://www.bentarique.es/
Berja,04029,https://www.berja.es/
Canjáyar,04030,https://www.canjayar.es/
Cantoria,04031,https://www.cantoria.es/
Carboneras,04032,https://ayuntamientodecarboneras.es/
Castro de Filabres,04033,https://www.castrodefilabres.es/
Chercos,04036,https://www.chercos.es/
Chirivel,04037,http://www.chirivel.es/
Cóbdar,04034,https://www.cobdar.es/
Cuevas del Almanzora,04035,https://www.cuevasdelalmanzora.es/
Dalías,04038,https://www.dalias.es/
El Ejido,04902,https://www.elejido.es/
Enix,04041,https://www.enix.es/
Felix,04043,https://www.felix.es/
Fines,04044,https://www.fines.es/
Fiñana,04045,https://www.finana.es/
Fondón,04046,https://www.fondon.es/
Gádor,04047,https://www.gador.es/
Los Gallardos,04048,https://www.losgallardos.es/
Garrucha,04049,https://www.garrucha.es/
Gérgal,04050,https://www.gergal.es/
Huécija,04051,https://www.huecija.es/
Huércal de Almería,04052,https://www.huercaldealmeria.es/
Huércal-Overa,04053,https://www.huercalovera.es/
Íllar,04054,https://www.illar.es/
Instinción,04055,https://www.instincion.es/
Laroya,04056,https://www.laroya.es/
Laujar de Andarax,04057,https://www.laujardeandarax.es/
Líjar,04058,https://www.lijar.es/
Lubrín,04059,https://www.lubrin.es/
Lucainena de las Torres,04060,https://www.lucainenadelastorres.es/
Lúcar,04061,https://www.lucar.es/
Macael,04062,https://www.macael.es/
María,04063,https://www.mariadalmeria.es/
Mojácar,04064,https://www.mojacar.es/
La Mojonera,04903,https://www.lamojonera.es/
Nacimiento,04065,https://www.nacimiento.es/
Níjar,04066,https://www.nijar.es/
Ohanes,04067,https://www.ohanes.es/
Olula de Castro,04068,https://www.oluladecastro.es/
Olula del Río,04069,https://www.oluladelrio.es/
Oria,04070,https://www.oria.es/
Padules,04071,https://www.padules.es/
Partaloa,04072,https://www.partaloa.es/
Paterna del Río,04073,https://www.paternadelrio.es/
Pechina,04074,https://www.pechina.es/
Pulpí,04075,https://www.pulpi.es/
Purchena,04076,https://www.purchena.es/
Rágol,04077,https://www.ragol.es/
Rioja,04078,https://www.riojaalmeria.es/
Roquetas de Mar,04079,https://www.roquetasdemar.es/
Santa Cruz de Marchena,04080,https://www.santacruzdemarchena.es/
Santa Fe de Mondújar,04081,https://www.santafedemondujar.es/
Senés,04082,https://www.senes.es/
Serón,04083,https://www.seron.es/
Sierro,04084,https://www.sierro.es/
Somontín,04085,https://www.somontin.es/
Sorbas,04086,https://www.sorbas.es/
Suflí,04087,https://www.sufli.es/
Tabernas,04088,https://www.tabernas.es/
Taberno,04089,https://www.taberno.es/
Tahal,04090,https://www.tahal.es/
Terque,04091,https://www.terque.es/
Tíjola,04092,https://www.tijola.es/
Tres Villas,04901,https://www.tresvillas.es/
Turre,04093,https://www.turre.es/
Turrillas,04094,https://www.turrillas.es/
Uleila del Campo,04095,https://www.uleiladelcampo.es/
Urrácal,04096,https://www.urracal.es/
Velefique,04097,https://www.velefique.es/
Vélez-Blanco,04098,https://www.velezblanco.es/
Vélez-Rubio,04099,https://www.velezrubio.es/
Vera,04100,https://www.vera.es/
Viator,04101,https://www.viator.es/
Vícar,04102,https://www.vicar.es/
Zurgena,04103,https://www.zurgena.es/
