id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
383,Adanero,Ávila,Castilla y León,05001,https://www.adanero.es,,,40.9438737,-4.6038249,2026-07-28 00:20:05.875169+00
384,"Adrada, La",Ávila,Castilla y León,05002,https://www.laadrada.es,,,40.6400494,-4.7035852,2026-07-28 00:20:07.538556+00
385,Albornos,Ávila,Castilla y León,05005,https://www.albornos.es,,,40.8382012,-4.8819226,2026-07-28 00:20:09.43978+00
386,Aldeanueva de Santa Cruz,Ávila,Castilla y León,05007,https://www.aldeanuevadesantacruz.com,,,40.3813669,-5.4215683,2026-07-28 00:20:11.268365+00
387,Aldeaseca,Ávila,Castilla y León,05008,https://www.aldeaseca.es,,,41.0488943,-4.8175252,2026-07-28 00:20:12.842097+00
388,"Aldehuela, La",Ávila,Castilla y León,05010,https://www.laaldehuela.es,,,40.6783995,-4.5985306,2026-07-28 00:20:14.658582+00
389,Amavida,Ávila,Castilla y León,05012,https://www.amavida.es,,,40.5738657,-5.0655314,2026-07-28 00:20:16.357596+00
390,"Arenal, El",Ávila,Castilla y León,05013,https://www.elarenal.es,,,40.2746735,-5.0812609,2026-07-28 00:20:18.110942+00
391,Arenas de San Pedro,Ávila,Castilla y León,05014,https://www.arenasdesanpedro.es,,,40.2107266,-5.0868775,2026-07-28 00:20:20.216064+00
392,Arevalillo,Ávila,Castilla y León,05015,https://www.arevalillo.es,,,40.5872112,-5.371953,2026-07-28 00:20:21.902123+00
393,Arévalo,Ávila,Castilla y León,05016,https://www.ayuntamientoarevalo.es,,,41.0632758,-4.7198921,2026-07-28 00:20:23.863942+00
394,Aveinte,Ávila,Castilla y León,05017,http://www.aveinte.es.vg,,,40.7821784,-4.8367695,2026-07-28 00:20:25.713489+00
395,Avellaneda,Ávila,Castilla y León,05018,https://www.avellaneda.es,,,40.3888653,-5.3888288,2026-07-28 00:20:27.808182+00
396,Ávila,Ávila,Castilla y León,05019,https://www.avila.es,,,40.657195,-4.6626677,2026-07-28 00:20:30.011152+00
397,"Barco de Ávila, El",Ávila,Castilla y León,05021,https://www.elbarcodeavila.es,,,40.3589573,-5.5251351,2026-07-28 00:20:31.899555+00
398,"Barraco, El",Ávila,Castilla y León,05022,https://www.elbarraco.es,,,40.4741432,-4.6379339,2026-07-28 00:20:33.724478+00
399,Barromán,Ávila,Castilla y León,05023,https://www.barroman.es,,,41.0655459,-4.9314522,2026-07-28 00:20:35.308159+00
400,Becedas,Ávila,Castilla y León,05024,https://www.becedas.es,,,40.4049606,-5.6343467,2026-07-28 00:20:37.171124+00
401,Becedillas,Ávila,Castilla y León,05025,https://www.becedillas.es,,,40.537921,-5.3252416,2026-07-28 00:20:39.019968+00
