Nº,Municipio,URL oficial
1,Abrera,https://www.abrera.cat
2,Aguilar de Segarra,https://www.aguilardesegarra.cat
3,Aiguafreda,https://www.aiguafreda.cat
4,Alella,https://alella.cat
5,Alpens,https://www.alpens.cat
6,Ametlla del Vallès,https://www.ametllavall.cat
7,Arenys de Mar,https://www.arenysdemar.cat
8,Arenys de Munt,https://www.arenysdemunt.cat
9,Argençola,https://www.argencola.cat
10,Argentona,https://www.argentona.cat
11,Artés,https://www.artes.cat
12,Avià,https://www.avia.cat
13,Avinyó,https://www.avinyo.cat
14,Avinyonet del Penedès,https://www.avinyonetdelpenedes.cat
15,Badalona,https://www.badalona.cat
16,Badia del Vallès,https://www.badiavalles.cat
17,Bagà,https://www.baga.cat
18,Balenyà,https://www.balenya.cat
19,Balsareny,https://www.balsareny.cat
20,Barberà del Vallès,https://www.barberadelvalles.cat
21,Barcelona,https://www.barcelona.cat
22,Begues,https://www.begues.cat
23,Bellprat,https://www.bellprat.cat
24,Berga,https://www.berga.cat
25,Bigues i Riells del Fai,https://www.biguesiriells.cat
26,Borredà,https://www.borreda.cat
27,Bruc, El,https://www.elbruc.cat
28,Brull, El,https://www.elbrull.cat
29,Cabanyes, Les,https://www.lescabanyes.cat
30,Cabrera d'Anoia,https://www.cabreradanoia.cat
31,Cabrera de Mar,https://www.cabrerademar.cat
32,Cabrils,https://www.cabrils.cat
33,Calaf,https://www.calaf.cat
34,Calders,https://www.calders.cat
35,Caldes de Montbui,https://www.caldesdemontbui.cat
36,Caldes d'Estrac,https://www.caldesdestrac.cat
37,Calella,https://www.calella.cat
38,Calldetenes,https://www.calldetenes.cat
39,Callús,https://www.callus.cat
40,Calonge de Segarra,https://www.calonge.cat
41,Campins,https://www.campins.cat
42,Canet de Mar,https://www.canetdemar.cat
43,Canovelles,https://www.canovelles.cat
44,Cànoves i Samalús,https://www.canovesisamalus.cat
45,Canyelles,https://www.canyelles.cat
46,Capellades,https://www.capellades.cat
47,Capolat,https://www.capolat.cat
48,Cardedeu,https://www.cardedeu.cat
49,Cardona,https://www.cardona.cat
50,Carme,https://www.elcarme.cat
