Nº,Municipio,URL oficial
1,Abadiño,https://www.abadiño.org
2,Abanto y Ciérvana-Abanto Zierbena,https://www.abanto-zierbena.eus
3,Ajangiz,https://www.ajangiz.eus
4,Alonsotegi,https://www.alonsotegi.eus
5,Amorebieta-Etxano,https://amorebieta-etxano.eus
6,Amoroto,https://www.amoroto.net
7,Arakaldo,https://www.arakaldo.eus
8,Arantzazu,https://www.arantzazu.eus
9,Areatza,https://www.areatza.net
10,Arrankudiaga-Zollo,https://www.arrankudiaga-zollo.eus
11,Arratzu,https://www.arratzu.eus
12,Arrieta,https://www.arrieta-udala.net
13,Arrigorriaga,https://www.arrigorriaga.eus
14,Artea,https://www.artea-udala.org
15,Artzentales,https://www.artzentales.org
16,Atxondo,https://www.atxondo.eus
17,Aulesti,https://www.aulesti.net
18,Bakio,https://www.bakio.eus
19,Balmaseda,https://www.balmaseda.eus
20,Barakaldo,https://www.barakaldo.eus
21,Barrika,https://www.barrika.eus
22,Basauri,https://www.basauri.eus
23,Bedia,https://www.bedia.biz
24,Berango,https://www.berango.net
25,Bermeo,https://www.bermeo.eus
26,Berriatua,https://www.berriatua.eus
27,Berriz,https://www.berriz.eus
28,Bilbao,https://www.bilbao.eus
29,Busturia,https://www.busturia.eus
30,Derio,https://www.derio.eus
31,Dima,https://www.dima.eus
32,Durango,https://www.durango.eus
33,Ea,https://www.ea.eus
34,Elantxobe,https://www.elantxobe.eu
35,Elorrio,https://www.elorrio.eus
36,Erandio,https://www.erandio.eus
37,Ereño,https://www.ereno.org
38,Ermua,https://www.ermua.eus
39,Errigoiti,https://www.errigoiti.net
40,Etxebarri,https://www.etxebarri.eus
41,Etxebarria,https://www.etxebarria.biz
42,Forua,https://www.forua.eus
43,Fruiz,https://www.fruiz.eus
44,Galdakao,https://www.galdakao.eus
45,Galdames,https://www.galdames.org
46,Gamiz-Fika,https://www.gamiz-fika.eus
47,Garai,https://www.garai-udala.eus
48,Gatika,https://www.gatika.eus
49,Gautegiz Arteaga,https://www.gautegizarteaga.eus
50,Gernika-Lumo,https://www.gernika-lumo.eus
51,Getxo,https://www.getxo.eus
52,Gizaburuaga,https://www.gizaburuaga.eu
53,Gordexola,https://www.gordexola.eus
54,Gorliz,https://www.gorliz.eus
55,Güeñes,https://www.guenes.eus
56,Ibarrangelu,https://www.ibarrangelu.eus
57,Igorre,https://www.igorre.net
58,Ispaster,https://www.ispaster.net
59,Iurreta,https://www.iurreta.eus
60,Izurtza,https://www.izurtza.eus
61,Karrantza Harana/Valle de Carranza,https://www.karrantza.org
62,Kortezubi,https://www.kortezubi.eus
63,Lanestosa,https://www.lanestosa.eus
64,Larrabetzu,https://www.larrabetzu.eus
65,Laukiz,https://www.laukiz.net
66,Leioa,https://www.leioa.net
67,Lekeitio,https://www.lekeitio.com
68,Lemoa,https://www.lemoa.net
69,Lemoiz,https://www.lemoiz.eus
70,Lezama,https://www.lezama.eus
71,Loiu,https://www.loiu.eus
72,Mallabia,https://www.mallabia.eus
73,Mañaria,http://www.xn--maaria-xwa.net
74,Markina-Xemein,http://www.markina-xemein.eus
75,Maruri-Jatabe,https://www.maruri-jatabe.eus
76,Mendata,https://www.mendata.eus
77,Mendexa,https://www.mendexa.net
78,Meñaka,http://www.xn--meaka-pta.eus
79,Morga,https://www.morgakoudala.com
80,Mundaka,https://www.mundaka.eus
81,Mungia,https://www.mungia.eus
82,Munitibar-Arbatzegi Gerrikaitz,https://www.munitibar.org
83,Murueta,https://www.murueta.eus
84,Muskiz,https://www.muskiz.org
85,Muxika,https://www.muxikakoudala.eus
86,Nabarniz,https://www.nabarniz.eus
87,Ondarroa,https://www.ondarroa.eus
88,Orozko,https://www.orozkoudala.com
89,Ortuella,https://www.ortuella.eus
90,Otxandio,https://www.otxandio.eus
91,Plentzia,https://www.plentzia.eus
92,Portugalete,https://www.portugalete.org
93,Santurtzi,https://www.santurtzi.eus
94,Sestao,https://www.sestao.eus
95,Sondika,https://www.sondika.eus
96,Sopela,https://udala.sopela.eus
97,Sopuerta,https://www.sopuerta.biz
98,Sukarrieta,https://www.sukarrieta.eus
99,Trucios-Turtzioz,http://www.turtzioz.org
100,Ubide,https://www.ubide.eus
101,Ugao-Miraballes,https://www.ugao-miraballes.eus
102,Urduliz,https://www.urduliz.eus
103,Urduña/Orduña,http://www.urduna.com
104,Usansolo,https://www.usansolo.eu
105,Valle de Trápaga-Trapagaran,https://www.trapagaran.net
106,Zaldibar,https://www.zaldibar.eus
107,Zalla,https://www.zalla.eus
108,Zamudio,https://www.zamudio.eus
109,Zaratamo,https://egoitza.zaratamo.com
110,Zeanuri,https://www.zeanuri.eus
111,Zeberio,https://www.zeberio.eus
112,Zierbena,http://www.zierbena.net
113,Ziortza-Bolibar,https://www.ziortza-bolibar.eus
