Nº,Municipio,URL oficial
1,Abajas,http://www.abajas.es
2,Adrada de Haza,http://www.adradadehaza.es
3,Aguas Cándidas,http://www.aguascandidas.es
4,Aguilar de Bureba,http://www.aguilardebureba.es
5,Albillos,https://albillos.burgos.es
6,Alcocero de Mola,http://www.alcocerodemola.es
7,Alfoz de Bricia,http://www.alfozdebricia.es
8,Alfoz de Quintanadueñas,https://www.xn--alfozdequintanadueas-l7b.es
9,Alfoz de Santa Gadea,https://alfozdesantagadea.burgos.es
10,Altable,http://www.altable.es
11,Los Altos,http://www.losaltos.es
12,Ameyugo,http://www.ameyugo.es
13,Anguix,http://anguix.es
14,Aranda de Duero,http://www.arandadeduero.es
15,Arandilla,http://www.arandilla.es
16,Arauzo de Miel,https://arauzodemiel.burgos.es
17,Arauzo de Salce,http://www.arauzodesalce.es
18,Arauzo de Torre,www.arauzodetorre.es
19,Arcos,http://www.arcosdelallana.es
20,Arenillas de Riopisuerga,http://www.arenillasderiopisuerga.es
21,Arija,http://www.arija.es
22,Arlanzón,www.arlanzon.es
23,Arraya de Oca,http://www.arrayadeoca.es
24,Atapuerca,http://www.atapuerca.es
25,Los Ausines,http://www.losausines.es
26,Avellanosa de Muñó,http://www.avellanosademuño.es
27,Bahabón de Esgueva,www.bahabondeesgueva.es
28,Los Balbases,http://www.losbalbases.es
29,Baños de Valdearados,www.banosdevaldearados.es
30,Bañuelos de Bureba,http://www.xn--bauelosdebureba-zqb.es
31,Barbadillo de Herreros,http://www.barbadillodeherreros.es
32,Barbadillo del Mercado,http://www.barbadillodelmercado.es
33,Barbadillo del Pez,http://www.barbadillodelpez.es
34,Barrio de Muñó,http://www.xn--barriodemuo-beb.es
35,Los Barrios de Bureba,http://www.losbarriosdebureba.es
36,Barrios de Colina,http://www.barriosdecolina.es
37,Basconcillos del Tozo,www.basconcillosdeltozo.es
38,Bascuñana,www.bascunana.es
39,Belbimbre,http://www.belbimbre.es
40,Belorado,http://www.belorado.es
41,Berberana,http://www.berberana.es
42,Berlangas de Roa,http://www.berlangasderoa.es
43,Berzosa de Bureba,http://www.berzosadebureba.es
44,Bozoó,http://www.bozoo.es
45,Brazacorta,http://www.brazacorta.es
46,Briviesca,http://www.ayto-briviesca.com
47,Bugedo,http://www.bugedo.es
48,Buniel,http://www.buniel.es
49,Burgos,http://www.aytoburgos.es
50,Busto de Bureba,http://www.bustodebureba.es
51,Cabañes de Esgueva,http://www.xn--cabaesdeesgueva-1qb.es
52,Cabezón de la Sierra,http://www.cabezondelasierra.es
53,Caleruega,http://www.caleruega.es
54,Campillo de Aranda,http://www.campillodearanda.es
55,Campolara,http://www.campolara.es
56,Canicosa de la Sierra,http://www.canicosadelasierra.es
57,Cantabrana,http://www.cantabrana.es
58,Carazo,http://www.carazo.es
59,Carcedo de Bureba,http://www.carcedodebureba.es
60,Carcedo de Burgos,https://carcedodeburgos.es
61,Cardeñadijo,http://www.xn--cardeadijo-x9a.es
62,Cardeñajimeno,http://www.xn--cardeajimeno-ehb.es
63,Cardeñuela Riopico,http://www.cardenuelariopico.es
64,Carrias,http://www.carrias.es
65,Cascajares de Bureba,http://www.cascajaresdebureba.es
66,Cascajares de la Sierra,http://www.cascajaresdelasierra.es
67,Castellanos de Castro,http://castellanosdecastro.es
68,Castil de Peones,http://www.castildepeones.es
69,Castildelgado,http://www.castildelgado.es
70,Castrillo de la Reina,http://castrillodelareina.burgos.es
71,Castrillo de la Vega,http://www.castrillodelavega.es
72,Castrillo de Riopisuerga,http://www.castrilloderiopisuerga.es
73,Castrillo del Val,http://www.castrillodelval.es
74,Castrillo Mota de Judíos,http://www.castrillomotadejudios.eu
75,Castrojeriz,http://www.castrojeriz.es
76,Cavia,https://cavia.burgos.es
77,Cayuela,https://cayuela.burgos.es
78,Cebrecos,http://www.cebrecos.es
79,Celada del Camino,http://www.celadadelcamino.es
80,Cerezo de Río Tirón,https://www.cerezoderiotiron.es
81,Cerratón de Juarros,http://cerratondejuarros.es
82,Ciadoncha,http://ciadoncha.es
83,Cillaperlata,http://cillaperlata.es
84,Cilleruelo de Abajo,http://cilleruelodeabajo.es
85,Cilleruelo de Arriba,http://cilleruelodearriba.es
86,Ciruelos de Cervera,http://ciruelosdecervera.es
87,Cogollos,http://cogollos.es
88,Condado de Treviño,https://condadodetrevino.es
89,Contreras,http://contreras.es
90,Coruña del Conde,http://corunadelconde.es
91,Covarrubias,http://covarrubias.es
92,Cubillo del Campo,http://cubillodelcampo.es
93,Cubo de Bureba,http://cubodebureba.es
94,La Cueva de Roa,http://lacuevaderoa.es
95,Cuevas de San Clemente,http://cuevasdesanclemente.es
96,Encío,http://encio.es
97,Espinosa de Cervera,http://espinosadecervera.es
98,Espinosa de los Monteros,http://espinosadelosmonteros.es
99,Espinosa del Camino,http://espinosadelcamino.es
100,Estépar,http://estepar.es
101,Fontioso,http://fontioso.es
102,Frandovínez,http://frandovinez.es
103,Fresneda de la Sierra Tirón,http://fresnedadelasierratiron.es
104,Fresneña,http://fresnena.es
105,Fresnillo de las Dueñas,http://fresnillodelasduenas.es
106,Fresno de Río Tirón,http://fresnoderiotiron.es
107,Fresno de Rodilla,http://fresnoderodilla.es
108,Frías,http://ciudaddefrias.es
109,Fuentebureba,http://fuentebureba.es
110,Fuentecén,http://fuentecen.es
111,Fuentelcésped,http://fuentelcesped.burgos.es
112,Fuentelisendo,http://fuentelisendo.es
113,Fuentemolinos,http://fuentemolinos.es
114,Fuentenebro,http://fuentenebro.es
115,Fuentespina,http://fuentespina.es
116,Galbarros,http://galbarros.es
117,La Gallega,http://lagallega.es
118,Grijalba,http://grijalba.es
119,Grisaleña,http://grisalena.es
120,Gumiel de Izán,http://gumieldeizan.es
121,Gumiel de Mercado,http://gumieldemercado.es
122,Hacinas,http://hacinas.es
123,Haza,http://haza.es
124,Hontanas,http://hontanas.es
125,Hontangas,http://hontangas.es
126,Hontoria de la Cantera,http://hontoriadelacantera.es
127,Hontoria de Valdearados,http://hontoriadevaldearados.es
128,Hontoria del Pinar,http://hontoriadelpinar.es
129,Las Hormazas,http://lashormazas.es
130,Hornillos del Camino,http://hornillosdelcamino.es
131,La Horra,http://lahorra.es
132,Hortigüela,http://hortiguela.es
133,Hoyales de Roa,http://hoyalesderoa.es
134,Huérmeces,http://huermeces.es
135,Huerta de Arriba,http://huertadearriba.es
136,Huerta de Rey,http://huertaderey.es
137,Humada,http://humada.es
138,Hurones,http://hurones.es
139,Ibeas de Juarros,http://ibeasdejuarros.es
140,Ibrillos,http://ibrillos.es
141,Iglesiarrubia,http://iglesiarrubia.es
142,Iglesias,http://iglesias.es
143,Isar,http://isar.es
144,Itero del Castillo,http://iterodelcastillo.es
145,Jaramillo de la Fuente,http://jaramillodelafuente.es
146,Jaramillo Quemado,http://jaramilloquemado.es
147,Junta de Traslaloma,http://juntadetraslaloma.es
148,Junta de Villalba de Losa,http://juntadevillalbadelosa.es
149,Jurisdicción de Lara,http://jurisdicciondelara.es
150,Jurisdicción de San Zadornil,http://jurisdicciondesanzadornil.es
151,Lerma,https://lerma.burgos.es
152,Llano de Bureba,http://llanodebureba.es
153,Madrigal del Monte,http://madrigaldelmonte.es
154,Madrigalejo del Monte,http://madrigalejodelmonte.es
155,Mahamud,http://mahamud.es
156,Mambrilla de Castrejón,http://mambrilladecastrejon.es
157,Mambrillas de Lara,http://mambrillasdelara.es
158,Mamolar,http://mamolar.es
159,Manciles,http://manciles.es
160,Mazuela,http://mazuela.es
161,Mecerreyes,http://mecerreyes.es
162,Medina de Pomar,http://medinadepomar.org
163,Melgar de Fernamental,http://melgardefernamental.es
164,Merindad de Cuesta-Urria,http://merindaddecuestaurria.burgos.es
165,Merindad de Montija,http://merindaddemontija.es
166,Merindad de Río Ubierna,http://merindadderioubierna.burgos.es
167,Merindad de Sotoscueva,http://merindaddesotoscueva.es
168,Merindad de Valdeporres,http://merindaddevaldeporres.es
169,Merindad de Valdivielso,http://merindaddevaldivielso.es
170,Milagros,http://milagros.es
171,Miranda de Ebro,http://mirandadeebro.es
172,Miraveche,http://miraveche.es
173,Modúbar de la Emparedada,http://modubardelaemparedada.es
174,Monasterio de la Sierra,http://monasteriodelasierra.es
175,Monasterio de Rodilla,http://monasterioderodilla.es
176,Moncalvillo,http://moncalvillo.es
177,Monterrubio de la Demanda,http://monterrubiodelademanda.es
178,Montorio,http://montorio.es
179,Moradillo de Roa,http://moradilloderoa.es
180,Nava de Roa,http://navaderoa.es
181,Navas de Bureba,http://navasdebureba.es
182,Nebreda,http://nebreda.es
183,Neila,http://neila.es
184,Olmedillo de Roa,http://olmedilloderoa.es
185,Olmillos de Muñó,http://olmillosdemuno.es
186,Oña,http://ayuntamientoona.com
187,Oquillas,http://oquillas.es
188,Orbaneja Riopico,http://orbanejariopico.es
189,Padilla de Abajo,http://padilladeabajo.es
190,Padilla de Arriba,http://padilladearriba.es
191,Padrones de Bureba,http://padronesdebureba.es
192,Palacios de la Sierra,http://palaciosdelasierra.es
193,Palacios de Riopisuerga,http://palaciosderiopisuerga.es
194,Palazuelos de la Sierra,http://palazuelosdelasierra.es
195,Palazuelos de Muñó,http://palazuelosdemuño.es
196,Pampliega,http://pampliega.es
197,Pancorbo,http://pancorbo.es
198,Pardilla,http://pardilla.es
199,Partido de la Sierra en Tobalina,http://partidodelasierraentobalina.es
200,Pedrosa de Duero,http://pedrosadeduero.es
201,Pedrosa de Río Úrbel,http://pedrosaderiourbel.es
202,Pedrosa del Páramo,http://pedrosadelparamo.es
203,Pedrosa del Príncipe,http://pedrosadelprincipe.es
204,Peñaranda de Duero,http://penarandadeduero.es
205,Peral de Arlanza,http://peraldearlanza.es
206,Piérnigas,http://piernigas.es
207,Pineda de la Sierra,http://pinedadelasierra.es
208,Pineda Trasmonte,http://pinedatrasmonte.es
209,Pinilla de los Barruecos,http://pinilladelosbarruecos.es
210,Pinilla de los Moros,http://pinilladelosmoros.es
211,Pinilla Trasmonte,http://pinillatrasmonte.es
212,Poza de la Sal,http://pozadelasal.es
213,Prádanos de Bureba,http://pradanosdebureba.es
214,Pradoluengo,http://pradoluengo.es
215,Presencio,http://presencio.es
216,La Puebla de Arganzón,http://lapuebladearganzon.es
217,Puentedura,http://puentedura.es
218,Quemada,http://quemada.es
219,Quintana del Pidio,http://quintanadelpidio.es
220,Quintanabureba,http://quintanabureba.es
221,Quintanaélez,http://quintanaelez.es
222,Quintanaortuño,http://quintanaortuno.es
223,Quintanapalla,http://quintanapalla.es
224,Quintanar de la Sierra,http://quintanardelasierra.es
225,Quintanavides,http://quintanavides.es
226,Quintanilla de la Mata,http://quintanilladelamata.es
227,Quintanilla del Agua y Tordueles,http://quintanilladelaguaytordueles.es
228,Quintanilla del Coco,http://quintanilladelcoco.es
229,Quintanilla San García,http://quintanillasangarcia.es
230,Quintanilla Vivar,http://quintanillavivar.es
231,Las Quintanillas,http://lasquintanillas.es
232,Rabanera del Pinar,http://rabaneradelpinar.es
233,Rábanos,http://rabanos.es
234,Rabé de las Calzadas,http://rabedelascalzadas.es
235,Rebolledo de la Torre,http://rebolledodelatorre.es
236,Redecilla del Camino,http://redecilladelcamino.es
237,Redecilla del Campo,http://redecilladelcampo.es
238,Regumiel de la Sierra,http://regumieldelasierra.es
239,Reinoso,http://reinoso.es
