MU_CODINE;MU_NOMBRE;DL_DIRECCION;DL_CP;DL_TELEFONO;DL_WEB;DL_EMAIL
03001;Atzúbia (L');C/ PUENTE, 5;03786;965571358;http://www.atzubia-forna.org;alcaldia@adsubia.es
03002;Agost;PLAÇA D´ESPANYA, 1;03698;965691043;http://www.agost.es;ajuntament@agost.es
03003;Agres;PLAZA ESPAÑA, 1;03837;965510001;http://www.agres.es;administracion@agres.es
03004;Aigües;C/ MAYOR, 5;03569;965690061;http://www.aigues.es;info@aigues.es
03005;Albatera;PLAZA ESPAÑA, 1;03340;965485000;http://www.albatera.org;ayuntamientoalbatera@albatera.org
03006;Alcalalí;PLAÇA L´AJUNTAMENT, 1;03728;966482024;http://www.alcalali.es;alcalali@alcalali.es
03007;Alcocer de Planes;C/ SAN GIL, 2;03841;965531444;http://www.alcocerdeplanes.es;ayuntalcocer@gmail.com
03008;Alcoleja;C/ SAN ANTONIO, 1;03814;966509101;http://www.alcoleja.es;secretaria@alcoleja.es
03009;Alcoi/Alcoy;PLAZA DE ESPAÑA, 1;03801;965537100;http://www.alcoi.org;ajualcoi@alcoi.org
03010;Alfafara;PLAÇA ESPANYA, 1;03838;965510082;http://www.alfafara.es;alfafara@alfafara.es
03011;Alfàs del Pi (l');C/ FEDERICO GARCIA LORCA, 11;03580;965888265;http://www.lalfas.es;estadistica@lalfas.com
03012;Algorfa;PLAZA ESPAÑA, 20;03169;965700146;http://www.algorfa.es;ayto@algorfa.es
03013;Algueña;PLAZA JUAN CARLOS I, 3;03668;965476001;http://www.alguenya.es;info@alguenya.es
03014;Alicante/Alacant;PLAZA DEL AYUNTAMIENTO, 1;03002;965149100;http://www.alicante.es;alcaldia@alicante-ayto.es
03015;Almoradí;PLAZA CONSTITUCION, 1;03160;965700101;http://www.almoradi.es;marian.parres@almoradi.es
03016;Almudaina;C/ LES MORERES, 9;03827;965514267;http://www.almudaina.es;almudaina@almudaina.es
03017;Alqueria d'Asnar (l');C/ SAN LORENZO, 6;03829;965530624;http://www.lalqueriadasnar.es;alqueria@lalqueriadasnar.es
03018;Altea;PLAZA JOSE MARIA PLANELLES, 1;03590;965841300;http://www.ayuntamientoaltea.es;altea.vicesecretaria@cv.gva.es
