Nº,Municipio,URL oficial
1,Agaete,https://www.aytoagaete.es
2,Agüimes,https://www.aguimes.es
3,Antigua,https://www.ayto-antigua.es
4,Arrecife,https://www.arrecife.es
5,Artenara,https://www.artenara.es
6,Arucas,https://www.arucas.org
7,Betancuria,https://www.aytobetancuria.org
8,Firgas,https://www.villadefirgas.es
9,Gáldar,https://www.galdar.es
10,Haría,https://www.ayuntamientodeharia.com
11,Ingenio,https://www.ingenio.es
12,Las Palmas de Gran Canaria,https://www.laspalmasgc.es
13,Mogán,https://www.mogan.es
14,Moya,https://www.villademoya.es
15,La Oliva,https://www.laoliva.es
16,Pájara,https://www.pajara.es
17,Puerto del Rosario,https://www.puertodelrosario.org
18,San Bartolomé,https://www.sanbartolome.es
19,San Bartolomé de Tirajana,https://www.maspalomas.com
20,La Aldea de San Nicolás,https://laaldeasanicolas.es
21,Santa Brígida,https://www.santabrigida.es
22,Santa Lucía de Tirajana,https://www.santaluciagc.com
23,Santa María de Guía de Gran Canaria,https://www.santamariadeguia.es
24,Teguise,https://www.teguise.es
25,Tejeda,https://www.tejeda.es
26,Telde,https://www.telde.es
27,Teror,https://www.teror.es
28,Tías,https://www.ayuntamientodetias.es
29,Tinajo,https://www.tinajo.es
30,Tuineje,https://www.tuineje.es
31,Valleseco,https://www.valleseco.es
32,Valsequillo de Gran Canaria,https://www.valsequillogc.es
33,Vega de San Mateo,https://www.vegadesanmateo.es
34,Yaiza,https://www.yaiza.es
