"Nº","Municipio","URL oficial"
"1","Abanilla","https://www.abanilla.es"
"2","Abarán","https://www.abaran.es"
"3","Águilas","https://www.aguilas.es"
"4","Albudeite","https://www.albudeite.es"
"5","Alcantarilla","https://www.alcantarilla.es"
"6","Los Alcázares","https://www.losalcazares.es"
"7","Aledo","https://www.aytoaledo.es"
"8","Alguazas","https://www.alguazas.es"
"9","Alhama de Murcia","https://www.alhamademurcia.es"
"10","Archena","https://www.archena.es"
"11","Beniel","https://www.beniel.es"
"12","Blanca","https://www.blanca.es"
"13","Bullas","https://www.bullas.es"
"14","Calasparra","https://www.calasparra.org"
"15","Campos del Río","https://www.camposdelrio.es"
"16","Caravaca de la Cruz","https://www.caravacadelacruz.es"
"17","Cartagena","https://www.cartagena.es"
"18","Cehegín","https://www.cehegin.es"
"19","Ceutí","https://www.ceuti.es"
"20","Cieza","https://www.cieza.es"
"21","Fortuna","https://www.aytofortuna.es"
"22","Fuente Álamo de Murcia","https://www.fuentealamo.es"
"23","Jumilla","https://www.jumilla.org"
"24","Librilla","https://www.librilla.es"
"25","Lorca","https://www.lorca.es"
"26","Lorquí","https://www.aytolorqui.es"
"27","Mazarrón","https://www.mazarron.es"
"28","Molina de Segura","https://www.molinadesegura.es"
"29","Moratalla","https://www.moratalla.es"
"30","Mula","https://www.mula.es"
"31","Murcia","https://www.murcia.es"
"32","Ojós","https://www.ojos.es"
"33","Pliego","https://www.pliego.es"
"34","Puerto Lumbreras","https://www.puertolumbreras.es"
"35","Ricote","https://www.ricote.es"
"36","San Javier","https://www.sanjavier.es"
"37","San Pedro del Pinatar","https://www.sanpedrodelpinatar.es"
"38","Santomera","https://www.santomera.es"
"39","Torre-Pacheco","https://www.torrepacheco.es"
"40","Las Torres de Cotillas","https://www.lastorresdecotillas.es"
"41","Totana","https://www.totana.es"
"42","Ulea","https://www.ulea.es"
"43","La Unión","https://www.launion.es"
"44","Villanueva del Río Segura","https://www.villanuevadelriosegura.es"
"45","Yecla","https://www.yecla.es"
