id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
8000,Adalia,Valladolid,Castilla y León,47001,https://adalia.ayuntamientosdevalladolid.es,,,,,
8001,Aguasal,Valladolid,Castilla y León,47002,https://aguasal.ayuntamientosdevalladolid.es,,,,,
8002,Aguilar de Campos,Valladolid,Castilla y León,47003,https://aguilardecampos.ayuntamientosdevalladolid.es,,,,,
8003,Alaejos,Valladolid,Castilla y León,47004,https://alaejos.ayuntamientosdevalladolid.es,,,,,
8004,Alcazarén,Valladolid,Castilla y León,47005,https://alcazaren.ayuntamientosdevalladolid.es,,,,,
8005,Aldea de San Miguel,Valladolid,Castilla y León,47006,https://aldeadesanmiguel.ayuntamientosdevalladolid.es,,,,,
8006,Aldeamayor de San Martín,Valladolid,Castilla y León,47007,https://aldeamayordesanmartin.ayuntamientosdevalladolid.es,,,,,
8007,Almenara de Adaja,Valladolid,Castilla y León,47008,https://almenaradeadaja.ayuntamientosdevalladolid.es,,,,,
8008,Amusquillo,Valladolid,Castilla y León,47009,https://amusquillo.ayuntamientosdevalladolid.es,,,,,
8009,Arroyo de la Encomienda,Valladolid,Castilla y León,47010,https://www.aytoarroyo.es,,,,,
8010,Ataquines,Valladolid,Castilla y León,47011,https://ataquines.ayuntamientosdevalladolid.es,,,,,
8011,Bahabón,Valladolid,Castilla y León,47012,https://bahabon.ayuntamientosdevalladolid.es,,,,,
8012,Barcial de la Loma,Valladolid,Castilla y León,47013,https://barcialdelaloma.ayuntamientosdevalladolid.es,,,,,
8013,Barruelo del Valle,Valladolid,Castilla y León,47014,https://barruelodelvalle.ayuntamientosdevalladolid.es,,,,,
8014,Becilla de Valderaduey,Valladolid,Castilla y León,47015,https://becilladevalderaduey.ayuntamientosdevalladolid.es,,,,,
8015,Benafarces,Valladolid,Castilla y León,47016,https://benafarces.ayuntamientosdevalladolid.es,,,,,
8016,Bercero,Valladolid,Castilla y León,47017,https://bercero.ayuntamientosdevalladolid.es,,,,,
8017,Berceruelo,Valladolid,Castilla y León,47018,https://berceruelo.ayuntamientosdevalladolid.es,,,,,
8018,Berrueces,Valladolid,Castilla y León,47019,https://berrueces.ayuntamientosdevalladolid.es,,,,,
8019,Bobadilla del Campo,Valladolid,Castilla y León,47020,https://bobadilladelcampo.ayuntamientosdevalladolid.es,,,,,
8020,Bocigas,Valladolid,Castilla y León,47021,https://bocigas.ayuntamientosdevalladolid.es,,,,,
8021,Bocos de Duero,Valladolid,Castilla y León,47022,https://bocosdeduero.ayuntamientosdevalladolid.es,,,,,
8022,Boecillo,Valladolid,Castilla y León,47023,https://www.boecillo.es,,,,,
8023,Bolaños de Campos,Valladolid,Castilla y León,47024,https://bolanosdecampos.ayuntamientosdevalladolid.es,,,,,
8024,Brahojos de Medina,Valladolid,Castilla y León,47025,https://brahojosdemedina.ayuntamientosdevalladolid.es,,,,,
8025,Bustillo de Chaves,Valladolid,Castilla y León,47026,https://bustillodechaves.ayuntamientosdevalladolid.es,,,,,
8026,Cabezón de Pisuerga,Valladolid,Castilla y León,47027,https://cabezondepisuerga.ayuntamientosdevalladolid.es,,,,,
8027,Cabezón de Valderaduey,Valladolid,Castilla y León,47028,https://cabezondevalderaduey.ayuntamientosdevalladolid.es,,,,,
8028,Cabreros del Monte,Valladolid,Castilla y León,47029,https://cabrerosdelmonte.ayuntamientosdevalladolid.es,,,,,
8029,Campaspero,Valladolid,Castilla y León,47030,https://campaspero.ayuntamientosdevalladolid.es,,,,,
8030,El Campillo,Valladolid,Castilla y León,47031,https://elcampillo.ayuntamientosdevalladolid.es,,,,,
8031,Camporredondo,Valladolid,Castilla y León,47032,https://camporredondo.ayuntamientosdevalladolid.es,,,,,
8032,Canalejas de Peñafiel,Valladolid,Castilla y León,47033,https://canalejasdepenafiel.ayuntamientosdevalladolid.es,,,,,
8033,Canillas de Esgueva,Valladolid,Castilla y León,47034,https://canillasdeesgueva.ayuntamientosdevalladolid.es,,,,,
8034,Carpio,Valladolid,Castilla y León,47035,https://carpio.ayuntamientosdevalladolid.es,,,,,
8035,Casasola de Arión,Valladolid,Castilla y León,47036,https://casasoladearion.ayuntamientosdevalladolid.es,,,,,
8036,Castrejón de Trabancos,Valladolid,Castilla y León,47037,https://castrejondetrabancos.ayuntamientosdevalladolid.es,,,,,
8037,Castrillo de Duero,Valladolid,Castilla y León,47038,https://castrillodeduero.ayuntamientosdevalladolid.es,,,,,
8038,Castrillo-Tejeriego,Valladolid,Castilla y León,47039,https://castrillotejeriego.ayuntamientosdevalladolid.es,,,,,
8039,Castrobol,Valladolid,Castilla y León,47040,https://castrobol.ayuntamientosdevalladolid.es,,,,,
8040,Castrodeza,Valladolid,Castilla y León,47041,https://castrodeza.ayuntamientosdevalladolid.es,,,,,
8041,Castromembibre,Valladolid,Castilla y León,47042,https://castromembibre.ayuntamientosdevalladolid.es,,,,,
8042,Castromonte,Valladolid,Castilla y León,47043,https://castromonte.ayuntamientosdevalladolid.es,,,,,
8043,Castronuevo de Esgueva,Valladolid,Castilla y León,47044,https://castronuevodeesgueva.ayuntamientosdevalladolid.es,,,,,
8044,Castronuño,Valladolid,Castilla y León,47045,https://castronuno.ayuntamientosdevalladolid.es,,,,,
8045,Castroponce,Valladolid,Castilla y León,47046,https://castroponce.ayuntamientosdevalladolid.es,,,,,
8046,Castroverde de Cerrato,Valladolid,Castilla y León,47047,https://castroverdedecerrato.ayuntamientosdevalladolid.es,,,,,
8047,Ceinos de Campos,Valladolid,Castilla y León,47048,https://ceinosdecampos.ayuntamientosdevalladolid.es,,,,,
8048,Cervillego de la Cruz,Valladolid,Castilla y León,47049,https://cervillegodelacruz.ayuntamientosdevalladolid.es,,,,,
8049,Cigales,Valladolid,Castilla y León,47050,https://cigales.es,,,,,
8050,Ciguñuela,Valladolid,Castilla y León,47051,https://cigunuela.ayuntamientosdevalladolid.es,,,,,
8051,Cistérniga,Valladolid,Castilla y León,47052,https://cisterniga.ayuntamientosdevalladolid.es,,,,,
8052,Cogeces de Íscar,Valladolid,Castilla y León,47053,https://cogecesdeiscar.ayuntamientosdevalladolid.es,,,,,
8053,Cogeces del Monte,Valladolid,Castilla y León,47054,https://cogecesdelmonte.ayuntamientosdevalladolid.es,,,,,
8054,Corcos del Valle,Valladolid,Castilla y León,47055,https://corcosdelvalle.ayuntamientosdevalladolid.es,,,,,
8055,Corrales de Duero,Valladolid,Castilla y León,47056,https://corralesdeduero.ayuntamientosdevalladolid.es,,,,,
8056,Cubillas de Santa Marta,Valladolid,Castilla y León,47057,https://cubillasdesantamarta.ayuntamientosdevalladolid.es,,,,,
8057,Cuenca de Campos,Valladolid,Castilla y León,47058,https://cuencadecampos.ayuntamientosdevalladolid.es,,,,,
8058,Curiel de Duero,Valladolid,Castilla y León,47059,https://curieldeduero.ayuntamientosdevalladolid.es,,,,,
8059,Encinas de Esgueva,Valladolid,Castilla y León,47060,https://encinasdeesgueva.ayuntamientosdevalladolid.es,,,,,
8060,Esguevillas de Esgueva,Valladolid,Castilla y León,47061,https://esguevillasdeesgueva.ayuntamientosdevalladolid.es,,,,,
8061,Fombellida,Valladolid,Castilla y León,47062,https://fombellida.ayuntamientosdevalladolid.es,,,,,
8062,Fompedraza,Valladolid,Castilla y León,47063,https://fompedraza.ayuntamientosdevalladolid.es,,,,,
8063,Fontihoyuelo,Valladolid,Castilla y León,47064,https://fontihoyuelo.ayuntamientosdevalladolid.es,,,,,
