id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
5060,Abarca de Campos,Palencia,Castilla y León,34001,https://abarcadecampos.es,,,42.0625676,-4.8418423,2026-07-28 09:14:11.151956+00
5061,Abia de las Torres,Palencia,Castilla y León,34003,https://abiadelastorres.es,,,42.4196917,-4.4226995,2026-07-28 09:14:12.777887+00
5062,Aguilar de Campoo,Palencia,Castilla y León,34004,https://aguilardecampoo.es,,,42.7956326,-4.30365,2026-07-28 09:14:14.430842+00
5063,Alar del Rey,Palencia,Castilla y León,34005,https://alardelrey.es,,,42.6595668,-4.3111784,2026-07-28 09:14:16.053285+00
5064,Alba de Cerrato,Palencia,Castilla y León,34006,https://albadecerrato.es,,,41.8127116,-4.3652566,2026-07-28 09:14:17.712274+00
5065,Amayuelas de Arriba,Palencia,Castilla y León,34009,https://amayuelasdearriba.es,,,42.211081,-4.4887297,2026-07-28 09:14:19.139963+00
5066,Ampudia,Palencia,Castilla y León,34010,https://ampudia.es,,,41.9148751,-4.7792135,2026-07-28 09:14:20.745196+00
5067,Amusco,Palencia,Castilla y León,34011,https://amusco.es,,,42.1728976,-4.4699037,2026-07-28 09:14:22.333413+00
5068,Antigüedad,Palencia,Castilla y León,34012,https://antiguedad.es,,,41.9465178,-4.1183617,2026-07-28 09:14:23.930951+00
5069,Arconada,Palencia,Castilla y León,34015,https://arconada.es,,,42.3276271,-4.4952828,2026-07-28 09:14:25.530972+00
5070,Astudillo,Palencia,Castilla y León,34017,https://astudillo.es,,,42.1927215,-4.2938662,2026-07-28 09:14:27.144712+00
5071,Autilla del Pino,Palencia,Castilla y León,34018,https://autilladelpino.es,,,41.9911815,-4.6334702,2026-07-28 09:14:28.753552+00
5072,Autillo de Campos,Palencia,Castilla y León,34019,https://autillodecampos.es,,,42.0873279,-4.8336762,2026-07-28 09:14:30.223977+00
5073,Ayuela,Palencia,Castilla y León,34020,https://ayuela.es,,,42.6262262,-4.6597711,2026-07-28 09:14:31.821349+00
5074,Baltanás,Palencia,Castilla y León,34022,https://baltanas.es,,,41.9370606,-4.2471899,2026-07-28 09:14:33.297489+00
5075,Baquerín de Campos,Palencia,Castilla y León,34024,https://baquerindecampos.es,,,42.0157345,-4.7815641,2026-07-28 09:14:34.721283+00
5076,Bárcena de Campos,Palencia,Castilla y León,34025,https://barcenadecampos.es,,,42.4834048,-4.4987889,2026-07-28 09:14:36.322746+00
5077,Barruelo de Santullán,Palencia,Castilla y León,34027,https://barruelodesantullan.es,,,42.9087746,-4.2881024,2026-07-28 09:14:37.962954+00
5078,Báscones de Ojeda,Palencia,Castilla y León,34028,https://basconesdeojeda.es,,,42.6705949,-4.5274879,2026-07-28 09:14:39.596154+00
5079,Becerril de Campos,Palencia,Castilla y León,34029,https://becerrildecampos.es,,,42.1079127,-4.6397799,2026-07-28 09:14:41.19373+00
5080,Belmonte de Campos,Palencia,Castilla y León,34031,https://belmontedecampos.es,,,41.9427963,-4.9873964,2026-07-28 09:14:42.878197+00
5081,Berzosilla,Palencia,Castilla y León,34032,https://berzosilla.es,,,42.7801605,-4.0376393,2026-07-28 09:14:44.521867+00
5082,Boada de Campos,Palencia,Castilla y León,34033,https://boadadecampos.es,,,41.9896693,-4.8775277,2026-07-28 09:14:45.95943+00
5083,Boadilla de Rioseco,Palencia,Castilla y León,34035,https://boadilladerioseco.es,,,42.1793848,-4.9689427,2026-07-28 09:14:47.64521+00
5084,Boadilla del Camino,Palencia,Castilla y León,34034,https://boadilladelcamino.es,,,42.2577849,-4.3472897,2026-07-28 09:14:49.271065+00
5085,Brañosera,Palencia,Castilla y León,34036,https://branosera.com,,,42.9360092,-4.3076006,2026-07-28 09:14:50.861241+00
5086,Buenavista de Valdavia,Palencia,Castilla y León,34037,https://buenavistadevaldavia.es,,,42.6380596,-4.6145515,2026-07-28 09:14:52.453281+00
