Nº,Municipio,URL oficial
1,Adeje,https://www.adeje.es
2,Agulo,https://www.agulo.es
3,Alajeró,https://www.aytoalajero.es
4,Arafo,https://www.arafo.es
5,Arico,https://www.ayuntamientodearico.com
6,Arona,https://www.arona.org
7,Barlovento,https://www.barlovento.es
8,Breña Alta,https://www.balta.es
9,Breña Baja,https://www.brenabaja.es
10,Buenavista del Norte,https://www.buenavistadelnorte.es
11,Candelaria,https://www.candelaria.es
12,Fasnia,https://www.ayuntamientodefasnia.es
13,Frontera,https://www.aytofrontera.es
14,Fuencaliente de la Palma,https://www.fuencalientedelapalma.es
15,Garachico,https://www.garachico.es
16,Garafía,https://www.garafia.es
17,Granadilla de Abona,https://www.granadilladeabona.org
18,"Guancha, La",https://www.laguancha.es
19,Guía de Isora,https://www.guiadeisora.org
20,Güímar,https://www.guimar.es
21,Hermigua,https://www.hermigua.es
22,Icod de los Vinos,https://www.icoddelosvinos.es
23,"Llanos de Aridane, Los",https://www.aridane.org
24,"Matanza de Acentejo, La",https://www.lamatanzadeacentejo.es
25,"Orotava, La",https://www.villadelaorotava.org
26,"Paso, El",https://www.elpaso.es
27,Puerto de la Cruz,https://www.puertodelacruz.es
28,Puntagorda,https://www.puntagorda.es
29,Puntallana,https://www.puntallana.es
30,"Realejos, Los",https://www.losrealejos.es
31,"Rosario, El",https://www.ayuntamientoelrosario.org
32,San Andrés y Sauces,https://www.sanandresysauces.es
33,San Cristóbal de La Laguna,https://www.aytolalaguna.es
34,San Juan de la Rambla,https://www.sanjuandelarambla.es
35,San Miguel de Abona,https://www.sanmigueldeabona.es
36,San Sebastián de la Gomera,https://www.sansebastianslagomera.org
37,Santa Cruz de la Palma,https://www.santacruzdelapalma.es
38,Santa Cruz de Tenerife,https://www.santacruzdetenerife.es
39,Santa Úrsula,https://www.santaursula.es
40,Santiago del Teide,https://www.santiagodelteide.es
41,"Sauzal, El",https://www.elsauzal.es
42,"Silos, Los",https://www.lossilos.es
43,Tacoronte,https://www.tacoronte.es
44,"Tanque, El",https://www.eltanque.es
45,Tazacorte,https://www.tazacorte.es
46,Tegueste,https://www.tegueste.es
47,Tijarafe,https://www.tijarafe.es
48,Valle Gran Rey,https://www.vallegranrey.es
49,Vallehermoso,https://www.vallehermoso.org
50,Valverde,https://www.ayto-valverde.org
51,"Victoria de Acentejo, La",https://www.lavictoriadeacentejo.es
52,Vilaflor de Chasna,https://www.vilaflordechasna.es
53,Villa de Mazo,https://www.villademazo.es
