id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
9000,Abades,Segovia,Castilla y León,,https://www.abades.es,,,,,
9001,Adrada de Pirón,Segovia,Castilla y León,,https://www.adradadepiron.es,,,,,
9002,Adrados,Segovia,Castilla y León,,https://www.adrados.es,,,,,
9003,Aguilafuente,Segovia,Castilla y León,,https://www.aguilafuente.es,,,,,
9004,Alconada de Maderuelo,Segovia,Castilla y León,,https://www.alconadademaderuelo.es,,,,,
9005,Aldea Real,Segovia,Castilla y León,,https://www.aldeareal.es,,,,,
9006,Aldealcorvo,Segovia,Castilla y León,,https://www.aldealcorvo.es,,,,,
9007,Aldealengua de Pedraza,Segovia,Castilla y León,,https://www.aldealenguadepedraza.es,,,,,
9008,Aldealengua de Santa María,Segovia,Castilla y León,,https://www.aldealenguadesantamaria.es,,,,,
9009,Aldeanueva de la Serrezuela,Segovia,Castilla y León,,https://www.aldeanuevadelaserrezuela.es,,,,,
9010,Aldeanueva del Codonal,Segovia,Castilla y León,,https://www.aldeanuevadelcodonal.es,,,,,
9011,Aldeasoña,Segovia,Castilla y León,,https://www.aldeasona.es,,,,,
9012,Aldehorno,Segovia,Castilla y León,,https://www.aldehorno.es,,,,,
9013,Aldehuela del Codonal,Segovia,Castilla y León,,https://www.aldehueladelcodonal.es,,,,,
9014,Aldeonte,Segovia,Castilla y León,,https://www.aldeonte.es,,,,,
9015,Anaya,Segovia,Castilla y León,,https://www.ayuntamientodeanaya.es,,,,,
9016,Arahuetes,Segovia,Castilla y León,,https://www.arahuetes.es,,,,,
9017,Arcones,Segovia,Castilla y León,,https://www.arcones.es,,,,,
9018,Arevalillo de Cega,Segovia,Castilla y León,,https://www.arevalillodecega.es,,,,,
9019,Armuña,Segovia,Castilla y León,,https://www.armuna.es,,,,,
9020,Ayllón,Segovia,Castilla y León,,https://www.ayllon.es,,,,,
9021,Añe,Segovia,Castilla y León,,https://www.ane.es,,,,,
9022,Barbolla,Segovia,Castilla y León,,https://www.barbolla.es,,,,,
9023,Basardilla,Segovia,Castilla y León,,https://www.basardilla.es,,,,,
9024,Bercial,Segovia,Castilla y León,,https://www.bercial.es,,,,,
9025,Bercimuel,Segovia,Castilla y León,,https://www.bercimuel.es,,,,,
9026,Bernardos,Segovia,Castilla y León,,https://www.bernardos.es,,,,,
9027,Bernuy de Porreros,Segovia,Castilla y León,,https://www.bernuydeporreros.es,,,,,
9028,Boceguillas,Segovia,Castilla y León,,https://www.boceguillas.es,,,,,
9029,Brieva,Segovia,Castilla y León,,https://www.brieva.es,,,,,
9030,Caballar,Segovia,Castilla y León,,https://www.caballar.es,,,,,
9031,Cabañas de Polendos,Segovia,Castilla y León,,https://xn--cabaasdepolendos-9tb.org,,,,,
9032,Cabezuela,Segovia,Castilla y León,,https://www.cabezuela.es,,,,,
9033,Calabazas de Fuentidueña,Segovia,Castilla y León,,https://www.calabazasdefuentiduena.es,,,,,
9034,Campo de San Pedro,Segovia,Castilla y León,,https://www.campodesanpedro.es,,,,,
9035,Cantalejo,Segovia,Castilla y León,,https://www.cantalejo.es,,,,,
9036,Cantimpalos,Segovia,Castilla y León,,https://www.cantimpalos.es,,,,,
9037,Carbonero el Mayor,Segovia,Castilla y León,,https://www.carboneroelmayor.es,,,,,
9038,Carrascal del Río,Segovia,Castilla y León,,https://www.carrascaldelrio.es,,,,,
9039,Casla,Segovia,Castilla y León,,https://www.casla.es,,,,,
9040,Castillejo de Mesleón,Segovia,Castilla y León,,https://www.castillejodemesleon.es,,,,,
9041,Castro de Fuentidueña,Segovia,Castilla y León,,https://www.castrodefuentiduena.es,,,,,
9042,Castrojimeno,Segovia,Castilla y León,,https://www.castrojimeno.es,,,,,
9043,Castroserna de Abajo,Segovia,Castilla y León,,https://www.castrosernadeabajo.es,,,,,
9044,Castroserracín,Segovia,Castilla y León,,https://www.castroserracin.es,,,,,
9045,Cedillo de la Torre,Segovia,Castilla y León,,https://www.cedillodelatorre.es,,,,,
9046,Cerezo de Abajo,Segovia,Castilla y León,,https://www.cerezodeabajo.es,,,,,
9047,Cerezo de Arriba,Segovia,Castilla y León,,https://www.cerezodearriba.es,,,,,
9048,Chañe,Segovia,Castilla y León,,https://www.chane.es,,,,,
9049,Cilleruelo de San Mamés,Segovia,Castilla y León,,https://www.cilleruelodesanmames.es,,,,,
9050,Cobos de Fuentidueña,Segovia,Castilla y León,,https://www.cobosdefuentiduena.es,,,,,
9051,Coca,Segovia,Castilla y León,,https://www.coca.es,,,,,
9052,Codorniz,Segovia,Castilla y León,,https://www.codorniz.es,,,,,
9053,Collado Hermoso,Segovia,Castilla y León,,https://www.colladohermoso.es,,,,,
9054,Condado de Castilnovo,Segovia,Castilla y León,,https://www.condadodecastilnovo.es,,,,,
9055,Corral de Ayllón,Segovia,Castilla y León,,https://www.corraldeayllon.es,,,,,
9056,Cozuelos de Fuentidueña,Segovia,Castilla y León,,https://www.cozuelosdefuentiduena.es,,,,,
9057,Cubillo,Segovia,Castilla y León,,https://www.cubillo.es,,,,,
9058,Cuevas de Provanco,Segovia,Castilla y León,,https://www.cuevasdeprovanco.es,,,,,
9059,Cuéllar,Segovia,Castilla y León,,https://www.aytocuellar.es,,,,,
9060,Domingo García,Segovia,Castilla y León,,https://www.domingogarcia.es,,,,,
9061,Donhierro,Segovia,Castilla y León,,https://www.donhierro.es,,,,,
9062,Duruelo,Segovia,Castilla y León,,https://www.duruelo.es,,,,,
9063,El Espinar,Segovia,Castilla y León,,https://www.elespinar.es,,,,,
9064,Encinas,Segovia,Castilla y León,,https://www.encinas.es,,,,,
9065,Encinillas,Segovia,Castilla y León,,https://www.encinillas.es,,,,,
9066,Escalona del Prado,Segovia,Castilla y León,,https://www.escalonadelprado.es,,,,,
9067,Escarabajosa de Cabezas,Segovia,Castilla y León,,https://www.escarabajosadecabezas.es,,,,,
