id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
6782,Ajofrín,Toledo,Castilla-La Mancha,45001,https://www.ajofrin.es,,,39.7111302,-3.98115,2026-07-28 10:00:11.355882+00
6783,Alameda de la Sagra,Toledo,Castilla-La Mancha,45002,https://www.alamedadelasagra.es,,,40.013303,-3.7968786,2026-07-28 10:00:12.839469+00
6784,Albarreal de Tajo,Toledo,Castilla-La Mancha,45003,https://www.albarrealdetajo.es,,,39.8974511,-4.228543,2026-07-28 10:00:14.496394+00
6785,Alcabón,Toledo,Castilla-La Mancha,45004,https://www.alcabon.es,,,40.0037832,-4.3687968,2026-07-28 10:00:15.938175+00
6786,Alcañizo,Toledo,Castilla-La Mancha,45005,https://www.alcanizo.es,,,39.9026662,-5.1053,2026-07-28 10:00:17.589366+00
6787,Alcaudete de la Jara,Toledo,Castilla-La Mancha,45006,https://www.alcaudetedelajara.es,,,39.7884846,-4.8700887,2026-07-28 10:00:19.056269+00
6788,Alcolea de Tajo,Toledo,Castilla-La Mancha,45007,https://www.alcoleadetajo.es,,,39.8092556,-5.1477785,2026-07-28 10:00:21.022281+00
6789,Aldea en Cabo,Toledo,Castilla-La Mancha,45008,https://www.aldeaencabo.es,,,40.1845515,-4.4573374,2026-07-28 10:00:22.759811+00
6790,Aldeanueva de Barbarroya,Toledo,Castilla-La Mancha,45009,https://www.aldeanuevadebarbarroya.es,,,39.7598669,-5.0215262,2026-07-28 10:00:24.220157+00
6791,Aldeanueva de San Bartolomé,Toledo,Castilla-La Mancha,45010,https://www.aldeanuevadesanbartolome.es,,,39.6368863,-5.1127897,2026-07-28 10:00:25.689628+00
6792,Almendral de la Cañada,Toledo,Castilla-La Mancha,45011,https://www.almendrallacanada.es,,,40.1833702,-4.7405076,2026-07-28 10:00:27.383495+00
6793,Almonacid de Toledo,Toledo,Castilla-La Mancha,45012,https://www.almonaciddetoledo.es,,,39.7538204,-3.8543691,2026-07-28 10:00:29.00284+00
6794,Almorox,Toledo,Castilla-La Mancha,45013,https://www.almorox.es,,,40.2335016,-4.3906553,2026-07-28 10:00:30.634748+00
6795,Añover de Tajo,Toledo,Castilla-La Mancha,45014,https://www.anoverdetajo.es,,,39.9877375,-3.7660548,2026-07-28 10:00:32.250867+00
6796,Arcicóllar,Toledo,Castilla-La Mancha,45015,https://www.arcicollar.es,,,40.0541018,-4.1159804,2026-07-28 10:00:33.863394+00
6797,Argés,Toledo,Castilla-La Mancha,45016,https://www.arges.es,,,39.8062915,-4.056902,2026-07-28 10:00:35.409168+00
6798,Azután,Toledo,Castilla-La Mancha,45017,https://www.azutan.es,,,39.7858328,-5.1271648,2026-07-28 10:00:36.994812+00
6799,Barcience,Toledo,Castilla-La Mancha,45018,https://www.barcience.es,,,39.9834419,-4.2362793,2026-07-28 10:00:38.436716+00
6800,Bargas,Toledo,Castilla-La Mancha,45019,https://www.bargas.es,,,39.9393212,-4.0201526,2026-07-28 10:00:40.020644+00
6801,Belvís de la Jara,Toledo,Castilla-La Mancha,45020,https://www.belvisdelajara.es,,,39.7594199,-4.9496046,2026-07-28 10:00:41.442046+00
6802,Borox,Toledo,Castilla-La Mancha,45021,https://www.borox.es,,,40.06967,-3.7411508,2026-07-28 10:00:43.098633+00
6803,Buenaventura,Toledo,Castilla-La Mancha,45022,https://www.aytobuenaventura.es,,,40.1766024,-4.8498756,2026-07-28 10:00:44.66186+00
6804,Burguillos de Toledo,Toledo,Castilla-La Mancha,45023,https://www.burguillosdetoledo.es,,,39.7983122,-3.9915094,2026-07-28 10:00:46.294813+00
6805,Burujón,Toledo,Castilla-La Mancha,45024,https://www.burujon.es,,,39.901105,-4.2981451,2026-07-28 10:00:47.732971+00
6806,Cabañas de la Sagra,Toledo,Castilla-La Mancha,45025,https://www.cabanasdelasagra.es,,,40.005774,-3.9479133,2026-07-28 10:00:49.191813+00
6807,Cabañas de Yepes,Toledo,Castilla-La Mancha,45026,https://www.cabanasdeyepes.es,,,39.8904689,-3.535343,2026-07-28 10:00:50.865359+00
6808,Cabezamesada,Toledo,Castilla-La Mancha,45027,https://www.cabezamesada.es,,,39.8166147,-3.1029185,2026-07-28 10:00:52.339719+00
6809,Calera y Chozas,Toledo,Castilla-La Mancha,45028,https://www.caleraychozas.es,,,39.8814627,-4.9786164,2026-07-28 10:00:53.839674+00
6810,Caleruela,Toledo,Castilla-La Mancha,45029,no encontrada,,,39.8744972,-5.2558765,2026-07-28 10:00:55.461219+00
6811,Calzada de Oropesa,Toledo,Castilla-La Mancha,45030,https://www.calzadadeoropesa.es,,,39.8978576,-5.2785136,2026-07-28 10:00:57.025846+00
6812,Camarena,Toledo,Castilla-La Mancha,45031,https://www.camarena.es,,,40.0925817,-4.1212536,2026-07-28 10:00:58.490202+00
6813,Camarenilla,Toledo,Castilla-La Mancha,45032,https://www.camarenilla.es,,,40.0172068,-4.0738169,2026-07-28 10:01:00.101481+00
6814,"Campillo de la Jara, El",Toledo,Castilla-La Mancha,45033,https://www.elcampillodelajara.es,,,39.5899342,-5.0548567,2026-07-28 10:01:02.457813+00
6815,Camuñas,Toledo,Castilla-La Mancha,45034,https://www.camunas.es,,,39.4283079,-3.4551614,2026-07-28 10:01:04.019457+00
6816,Cardiel de los Montes,Toledo,Castilla-La Mancha,45035,https://www.cardieldelosmontes.es,,,40.0644722,-4.6554196,2026-07-28 10:01:05.573182+00
6817,Carmena,Toledo,Castilla-La Mancha,45036,https://www.carmena.es,,,39.9297578,-4.4005088,2026-07-28 10:01:07.177059+00
6818,"Carpio de Tajo, El",Toledo,Castilla-La Mancha,45037,https://www.elcarpiodetajo.es,,,39.8874679,-4.454366,2026-07-28 10:01:08.825536+00
6819,Carranque,Toledo,Castilla-La Mancha,45038,https://www.carranque.es,,,40.1702567,-3.9000333,2026-07-28 10:01:10.477919+00
6820,Carriches,Toledo,Castilla-La Mancha,45039,https://www.carriches.es,,,39.9639132,-4.4586415,2026-07-28 10:01:12.087468+00
6821,"Casar de Escalona, El",Toledo,Castilla-La Mancha,45040,https://www.elcasardeescalona.es,,,40.1612948,-4.3865946,2026-07-28 10:01:13.751369+00
6822,Casarrubios del Monte,Toledo,Castilla-La Mancha,45041,https://www.casarrubiosdelmonte.es,,,40.185405,-4.0377056,2026-07-28 10:01:15.223766+00
6823,Casasbuenas,Toledo,Castilla-La Mancha,45042,https://www.casasbuenas.es,,,39.7607428,-4.1264909,2026-07-28 10:01:16.624283+00
6824,Castillo de Bayuela,Toledo,Castilla-La Mancha,45043,https://www.castillodebayuela.es,,,40.0998825,-4.6851982,2026-07-28 10:01:18.028194+00
6825,Cazalegas,Toledo,Castilla-La Mancha,45045,https://www.cazalegas.es,,,40.0099432,-4.6772621,2026-07-28 10:01:19.428896+00
6826,Cebolla,Toledo,Castilla-La Mancha,45046,https://www.cebolla.es,,,39.9470727,-4.5726539,2026-07-28 10:01:20.895113+00
6827,Cedillo del Condado,Toledo,Castilla-La Mancha,45047,https://www.cedillodelcondado.es,,,40.1153734,-3.9257738,2026-07-28 10:01:22.558864+00
6828,"Cerralbos, Los",Toledo,Castilla-La Mancha,45048,https://www.loscerralbos.es,,,39.9807911,-4.5723966,2026-07-28 10:01:24.225137+00
6829,Cervera de los Montes,Toledo,Castilla-La Mancha,45049,https://www.cerveradelosmontes.es,,,40.0514382,-4.8102512,2026-07-28 10:01:25.847788+00
6830,Chozas de Canales,Toledo,Castilla-La Mancha,45056,https://www.chozasdecanales.es,,,40.0994053,-4.0438492,2026-07-28 10:01:27.455526+00
6831,Chueca,Toledo,Castilla-La Mancha,45057,https://www.chueca.es,,,39.7318213,-3.9436324,2026-07-28 10:01:29.093684+00
6832,Ciruelos,Toledo,Castilla-La Mancha,45050,https://www.ciruelos.es,,,39.9383171,-3.6137358,2026-07-28 10:01:30.528728+00
6833,Cobeja,Toledo,Castilla-La Mancha,45051,https://www.cobeja.es,,,40.0235161,-3.8581058,2026-07-28 10:01:32.15763+00
6834,Cobisa,Toledo,Castilla-La Mancha,45052,https://www.cobisa.es,,,39.8044211,-4.0247277,2026-07-28 10:01:33.555448+00
6835,Consuegra,Toledo,Castilla-La Mancha,45053,https://www.consuegra.es,,,39.460918,-3.6070786,2026-07-28 10:01:35.10775+00
6836,Corral de Almaguer,Toledo,Castilla-La Mancha,45054,https://www.corraldealmaguer.es,,,39.7607947,-3.168367,2026-07-28 10:01:36.528775+00
